"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-05-11 09:00:00.000","9","Saturday","Weekend","19","May","Q2: Apr - Jun","11","185"
"Dublin Central","2024-05-11 10:00:00.000","10","Saturday","Weekend","19","May","Q2: Apr - Jun","11","184"
"Dublin Central","2024-05-11 11:00:00.000","11","Saturday","Weekend","19","May","Q2: Apr - Jun","11","181"
"Dublin Central","2024-05-11 12:00:00.000","12","Saturday","Weekend","19","May","Q2: Apr - Jun","11","195"
"Dublin Central","2024-05-11 13:00:00.000","13","Saturday","Weekend","19","May","Q2: Apr - Jun","11","182"
"Dublin Central","2024-05-11 14:00:00.000","14","Saturday","Weekend","19","May","Q2: Apr - Jun","11","214"
"Dublin Central","2024-05-11 15:00:00.000","15","Saturday","Weekend","19","May","Q2: Apr - Jun","11","200"
"Dublin Central","2024-05-11 16:00:00.000","16","Saturday","Weekend","19","May","Q2: Apr - Jun","11","218"
"Dublin Central","2024-05-11 17:00:00.000","17","Saturday","Weekend","19","May","Q2: Apr - Jun","11","202"
"Dublin Central","2024-05-11 18:00:00.000","18","Saturday","Weekend","19","May","Q2: Apr - Jun","11","174"
"Dublin Central","2024-05-11 19:00:00.000","19","Saturday","Weekend","19","May","Q2: Apr - Jun","11","108"
"Dublin Central","2024-05-11 20:00:00.000","20","Saturday","Weekend","19","May","Q2: Apr - Jun","11","117"
"Dublin Central","2024-05-11 21:00:00.000","21","Saturday","Weekend","19","May","Q2: Apr - Jun","11","111"
"Dublin Central","2024-05-11 22:00:00.000","22","Saturday","Weekend","19","May","Q2: Apr - Jun","11","106"
"Dublin Central","2024-05-11 23:00:00.000","23","Saturday","Weekend","19","May","Q2: Apr - Jun","11","51"
"Dublin Central","2024-05-12 00:00:00.000","0","Sunday","Weekend","19","May","Q2: Apr - Jun","12","1"
"Dublin Central","2024-05-12 01:00:00.000","1","Sunday","Weekend","19","May","Q2: Apr - Jun","12","0"
"Dublin Central","2024-05-12 02:00:00.000","2","Sunday","Weekend","19","May","Q2: Apr - Jun","12","0"
"Dublin Central","2024-05-12 03:00:00.000","3","Sunday","Weekend","19","May","Q2: Apr - Jun","12","0"
"Dublin Central","2024-05-12 04:00:00.000","4","Sunday","Weekend","19","May","Q2: Apr - Jun","12","13"
"Dublin Central","2024-05-12 05:00:00.000","5","Sunday","Weekend","19","May","Q2: Apr - Jun","12","37"
"Dublin Central","2024-05-12 06:00:00.000","6","Sunday","Weekend","19","May","Q2: Apr - Jun","12","40"
"Dublin Central","2024-05-12 07:00:00.000","7","Sunday","Weekend","19","May","Q2: Apr - Jun","12","100"
"Dublin Central","2024-05-12 08:00:00.000","8","Sunday","Weekend","19","May","Q2: Apr - Jun","12","121"
"Dublin Central","2024-05-12 09:00:00.000","9","Sunday","Weekend","19","May","Q2: Apr - Jun","12","150"
"Dublin Central","2024-05-12 10:00:00.000","10","Sunday","Weekend","19","May","Q2: Apr - Jun","12","183"
"Dublin Central","2024-05-12 11:00:00.000","11","Sunday","Weekend","19","May","Q2: Apr - Jun","12","218"
"Dublin Central","2024-05-12 12:00:00.000","12","Sunday","Weekend","19","May","Q2: Apr - Jun","12","193"
"Dublin Central","2024-05-12 13:00:00.000","13","Sunday","Weekend","19","May","Q2: Apr - Jun","12","164"
"Dublin Central","2024-05-12 14:00:00.000","14","Sunday","Weekend","19","May","Q2: Apr - Jun","12","139"
"Dublin Central","2024-05-12 15:00:00.000","15","Sunday","Weekend","19","May","Q2: Apr - Jun","12","187"
"Dublin Central","2024-05-12 16:00:00.000","16","Sunday","Weekend","19","May","Q2: Apr - Jun","12","130"
"Dublin Central","2024-05-12 17:00:00.000","17","Sunday","Weekend","19","May","Q2: Apr - Jun","12","126"
"Dublin Central","2024-05-12 18:00:00.000","18","Sunday","Weekend","19","May","Q2: Apr - Jun","12","122"
"Dublin Central","2024-05-12 19:00:00.000","19","Sunday","Weekend","19","May","Q2: Apr - Jun","12","95"
"Dublin Central","2024-05-12 20:00:00.000","20","Sunday","Weekend","19","May","Q2: Apr - Jun","12","65"
"Dublin Central","2024-05-12 21:00:00.000","21","Sunday","Weekend","19","May","Q2: Apr - Jun","12","74"
"Dublin Central","2024-05-12 22:00:00.000","22","Sunday","Weekend","19","May","Q2: Apr - Jun","12","45"
"Dublin Central","2024-05-12 23:00:00.000","23","Sunday","Weekend","19","May","Q2: Apr - Jun","12","17"
"Dublin Central","2024-05-13 00:00:00.000","0","Monday","Weekday","20","May","Q2: Apr - Jun","13","0"
"Dublin Central","2024-05-13 01:00:00.000","1","Monday","Weekday","20","May","Q2: Apr - Jun","13","0"
"Dublin Central","2024-05-13 02:00:00.000","2","Monday","Weekday","20","May","Q2: Apr - Jun","13","0"
